instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
150,2011-05-30,2,0,5,1,1,0,1,30.066653,33.5546,13.1225,8.792075,1549,2549,4098
151,2011-05-31,2,0,5,0,2,1,1,31.775,36.26915,11.1329,7.459043,673,3309,3982
152,2011-06-01,2,0,6,0,3,1,2,31.330847,36.04835,20.7092,13.875164,513,3461,3974
153,2011-06-02,2,0,6,0,4,1,1,29.315,32.1971,29.2287,19.583229,736,4232,4968
154,2011-06-03,2,0,6,0,5,1,1,25.42,29.35665,25.3121,16.959107,898,4414,5312
155,2011-06-04,2,0,6,0,6,0,1,26.035,29.7348,12.3142,8.250514,1869,3473,5342
156,2011-06-05,2,0,6,0,0,0,2,26.581653,30.8402,13.8692,9.292364,1685,3221,4906
157,2011-06-06,2,0,6,0,1,1,1,27.811653,31.0929,12.1896,8.167032,673,3875,4548
158,2011-06-07,2,0,6,0,2,1,1,29.0075,32.7975,18.7808,12.583136,763,4070,4833
159,2011-06-08,2,0,6,0,3,1,1,31.809153,36.36395,13.6817,9.166739,676,3725,4401
160,2011-06-09,2,0,6,0,4,1,2,33.141653,37.87895,14.9883,10.042161,563,3352,3915
161,2011-06-10,2,0,6,0,5,1,1,30.955,35.1646,14.0554,9.417118,815,3771,4586
162,2011-06-11,2,0,6,0,6,0,1,29.725,33.9019,15.485,10.37495,1729,3237,4966
163,2011-06-12,2,0,6,0,0,0,1,28.3925,32.16625,16.3567,10.958989,1467,2993,4460
164,2011-06-13,2,0,6,0,1,1,1,26.035,30.0827,30.535,20.45845,863,4157,5020
165,2011-06-14,2,0,6,0,2,1,1,24.770847,29.5773,26.9283,18.041961,727,4164,4891
166,2011-06-15,2,0,6,0,3,1,1,25.693347,29.3877,16.7912,11.250104,769,4411,5180
167,2011-06-16,2,0,6,0,4,1,2,25.761653,29.7673,20.6471,13.833557,545,3222,3767
168,2011-06-17,2,0,6,0,5,1,1,26.615847,30.01915,14.3029,9.582943,863,3981,4844
169,2011-06-18,2,0,6,0,6,0,1,28.563347,32.1977,11.9408,8.000336,1807,3312,5119
170,2011-06-19,2,0,6,0,0,0,2,28.665847,32.2923,10.2,6.834,1639,3105,4744
171,2011-06-20,2,0,6,0,1,1,2,26.035,29.7673,15.5475,10.416825,699,3311,4010
172,2011-06-21,3,0,6,0,2,1,2,27.914153,31.8823,17.1025,11.458675,774,4061,4835
173,2011-06-22,3,0,6,0,3,1,1,30.066653,34.69145,17.2262,11.541554,661,3846,4507
174,2011-06-23,3,0,6,0,4,1,2,29.861653,34.69165,23.8804,15.999868,746,4044,4790
175,2011-06-24,3,0,6,0,5,1,1,29.690847,32.82915,22.2025,14.875675,969,4022,4991
176,2011-06-25,3,0,6,0,6,0,1,28.495,32.16565,20.9571,14.041257,1782,3420,5202
177,2011-06-26,3,0,6,0,0,0,1,27.88,31.88145,9.45333,6.3337311,1920,3385,5305
178,2011-06-27,3,0,6,0,1,1,2,27.9825,31.8502,10.7588,7.208396,854,3854,4708
179,2011-06-28,3,0,6,0,2,1,1,30.510847,34.6279,14.4283,9.666961,732,3916,4648
180,2011-06-29,3,0,6,0,3,1,1,29.861653,32.7344,26.1821,17.542007,848,4377,5225
181,2011-06-30,3,0,6,0,4,1,1,28.563347,31.8504,18.5312,12.415904,1027,4488,5515
182,2011-07-01,3,0,7,0,5,1,1,29.6225,32.6081,10.2608,6.874736,1246,4116,5362
183,2011-07-02,3,0,7,0,6,0,1,30.271653,33.3654,11.5062,7.709154,2204,2915,5119
184,2011-07-03,3,0,7,0,0,0,2,29.383347,33.42875,22.8858,15.333486,2282,2367,4649
185,2011-07-04,3,0,7,1,1,0,2,29.793347,33.27085,8.14792,5.4591064,3065,2978,6043
186,2011-07-05,3,0,7,0,2,1,1,30.613347,34.8169,12.6258,8.459286,1031,3634,4665
187,2011-07-06,3,0,7,0,3,1,1,29.52,34.28165,14.9883,10.042161,784,3845,4629
188,2011-07-07,3,0,7,0,4,1,1,30.75,34.34355,15.92,10.6664,754,3838,4592
189,2011-07-08,3,0,7,0,5,1,2,29.075847,33.52415,22.5129,15.083643,692,3348,4040
190,2011-07-09,3,0,7,0,6,0,1,30.066653,33.2079,16.7912,11.250104,1988,3348,5336
191,2011-07-10,3,0,7,0,0,0,1,30.6475,34.50125,18.3471,12.292557,1743,3138,4881
192,2011-07-11,3,0,7,0,1,1,1,31.2625,36.4902,28.2337,18.916579,723,3363,4086
193,2011-07-12,3,0,7,0,2,1,1,32.560847,36.96375,20.0254,13.417018,662,3596,4258
194,2011-07-13,3,0,7,0,3,1,1,30.613347,34.4702,14.6133,9.790911,748,3594,4342
195,2011-07-14,3,0,7,0,4,1,1,27.914153,31.7552,24.0667,16.124689,888,4196,5084
196,2011-07-15,3,0,7,0,5,1,1,27.196653,31.21855,18.2833,12.249811,1318,4220,5538
197,2011-07-16,3,0,7,0,6,0,1,28.153347,31.91315,20.8342,13.958914,2418,3505,5923
198,2011-07-17,3,0,7,0,0,0,1,29.485847,33.49165,24.5033,16.417211,2006,3296,5302
199,2011-07-18,3,0,7,0,1,1,1,30.613347,35.19625,21.5804,14.458868,841,3617,4458
200,2011-07-19,3,0,7,0,2,1,1,31.843347,37.37395,13.06,8.7502,752,3789,4541
201,2011-07-20,3,0,7,0,3,1,1,31.501653,37.3425,11.3817,7.625739,644,3688,4332
202,2011-07-21,3,0,7,0,4,1,2,33.415,41.31855,22.2021,14.875407,632,3152,3784
203,2011-07-22,3,0,7,0,5,1,1,34.781653,42.0448,13.31,8.9177,562,2825,3387
204,2011-07-23,3,0,7,0,6,0,1,34.815847,40.21435,13.1221,8.791807,987,2298,3285
205,2011-07-24,3,0,7,0,0,0,1,34.03,39.74145,16.9171,11.334457,1050,2556,3606
206,2011-07-25,3,0,7,0,1,1,1,30.476653,36.0479,9.08083,6.0841561,568,3272,3840
207,2011-07-26,3,0,7,0,2,1,1,31.638347,34.84895,20.0258,13.417286,750,3840,4590
208,2011-07-27,3,0,7,0,3,1,1,31.775,34.53335,18.3463,12.292021,755,3901,4656
209,2011-07-28,3,0,7,0,4,1,1,31.945847,36.995,17.8479,11.958093,606,3784,4390
210,2011-07-29,3,0,7,0,5,1,1,34.371653,39.29835,17.4138,11.667246,670,3176,3846
211,2011-07-30,3,0,7,0,6,0,1,32.970847,36.42685,16.8537,11.291979,1559,2916,4475
212,2011-07-31,3,0,7,0,0,0,1,33.039153,36.4898,16.4813,11.042471,1524,2778,4302
213,2011-08-01,3,0,8,0,1,1,1,31.638347,35.1646,15.6717,10.500039,729,3537,4266
214,2011-08-02,3,0,8,0,2,1,1,32.116653,35.35355,20.585,13.79195,801,4044,4845
215,2011-08-03,3,0,8,0,3,1,2,29.998347,33.99685,13.5583,9.084061,467,3107,3574
216,2011-08-04,3,0,8,0,4,1,2,29.11,33.2394,19.715,13.20905,799,3777,4576
217,2011-08-05,3,0,8,0,5,1,1,29.144153,32.82835,18.4696,12.374632,1023,3843,4866
218,2011-08-06,3,0,8,0,6,0,2,29.383347,33.8077,22.825,15.29275,1521,2773,4294
219,2011-08-07,3,0,8,0,0,0,1,30.4425,35.7646,20.1487,13.499629,1298,2487,3785
220,2011-08-08,3,0,8,0,1,1,1,31.365,35.16415,19.2175,12.875725,846,3480,4326
221,2011-08-09,3,0,8,0,2,1,1,31.775,36.20605,15.1121,10.125107,907,3695,4602
222,2011-08-10,3,0,8,0,3,1,1,31.433347,34.24915,20.0258,13.417286,884,3896,4780
223,2011-08-11,3,0,8,0,4,1,1,29.4175,32.57605,16.4796,11.041332,812,3980,4792
224,2011-08-12,3,0,8,0,5,1,1,29.041653,32.7021,12.5621,8.416607,1051,3854,4905
225,2011-08-13,3,0,8,0,6,0,2,28.119153,32.2929,21.1454,14.167418,1504,2646,4150
226,2011-08-14,3,0,8,0,0,0,2,27.743347,31.2194,22.2633,14.916411,1338,2482,3820
227,2011-08-15,3,0,8,0,1,1,1,27.299153,30.80835,20.8954,13.999918,775,3563,4338
228,2011-08-16,3,0,8,0,2,1,1,28.734153,32.29185,23.6329,15.834043,721,4004,4725
229,2011-08-17,3,0,8,0,3,1,1,29.656653,33.33355,14.3667,9.625689,668,4026,4694
230,2011-08-18,3,0,8,0,4,1,1,29.178347,33.1129,23.3208,15.624936,639,3166,3805
231,2011-08-19,3,0,8,0,5,1,2,28.085,31.66105,13.9308,9.333636,797,3356,4153
232,2011-08-20,3,0,8,0,6,0,1,28.5975,32.4498,10.4467,6.999289,1914,3277,5191
233,2011-08-21,3,0,8,0,0,0,1,29.144153,33.77625,24.8754,16.666518,1249,2624,3873
234,2011-08-22,3,0,8,0,1,1,1,28.358347,31.9127,27.675,18.54225,833,3925,4758
235,2011-08-23,3,0,8,0,2,1,1,26.274153,30.30335,14.6763,9.833121,1281,4614,5895
236,2011-08-24,3,0,8,0,3,1,1,27.606653,31.5346,25.3108,16.958236,949,4181,5130
237,2011-08-25,3,0,8,0,4,1,2,28.050847,32.2927,21.0833,14.125811,435,3107,3542
238,2011-08-26,3,0,8,0,5,1,1,28.7,32.98665,8.39625,5.6254875,768,3893,4661
239,2011-08-27,3,0,8,0,6,0,2,27.88,31.7778,37.5617,25.166339,226,889,1115
240,2011-08-28,3,0,8,0,0,0,1,28.989419,32.39795,30.4659,20.412153,1415,2919,4334
241,2011-08-29,3,0,8,0,1,1,1,26.103347,30.3979,15.9825,10.708275,729,3905,4634
242,2011-08-30,3,0,8,0,2,1,1,26.205847,29.7352,12.5008,8.375536,775,4429,5204
243,2011-08-31,3,0,8,0,3,1,1,26.923347,30.55605,8.33333,5.5833311,688,4370,5058
244,2011-09-01,3,0,9,0,4,1,1,26.855,30.74605,14.1796,9.500332,783,4332,5115
245,2011-09-02,3,0,9,0,5,1,2,26.376653,30.2404,13.9929,9.375243,875,3852,4727
246,2011-09-03,3,0,9,0,6,0,1,27.435847,31.66065,18.5325,12.416775,1935,2549,4484
247,2011-09-04,3,0,9,0,0,0,1,29.075847,33.27145,20.6467,13.833289,2521,2419,4940
248,2011-09-05,3,0,9,1,1,0,2,27.606653,31.2823,21.2696,14.250632,1236,2115,3351
249,2011-09-06,3,0,9,0,2,1,3,22.14,25.76,34.3943,23.044181,204,2506,2710
250,2011-09-07,3,0,9,0,3,1,3,24.565847,27.21145,9.70208,6.5003936,118,1878,1996
251,2011-09-08,3,0,9,0,4,1,3,25.990433,27.76805,19.2748,12.914116,153,1689,1842
252,2011-09-09,3,0,9,0,5,1,2,26.65,28.9473,12.4379,8.333393,417,3127,3544
253,2011-09-10,3,0,9,0,6,0,1,27.06,30.3981,15.3608,10.291736,1750,3595,5345
254,2011-09-11,3,0,9,0,0,0,1,26.786653,30.46145,11.5054,7.708618,1633,3413,5046
255,2011-09-12,3,0,9,0,1,1,1,26.418268,30.1065,8.8913,5.957171,690,4023,4713
256,2011-09-13,3,0,9,0,2,1,1,26.684153,30.1777,14.1804,9.500868,701,4062,4763
257,2011-09-14,3,0,9,0,3,1,1,27.606653,31.345,16.73,11.2091,647,4138,4785
258,2011-09-15,3,0,9,0,4,1,2,23.6775,27.68355,27.1146,18.166782,428,3231,3659
259,2011-09-16,3,0,9,0,5,1,2,19.235847,23.07375,16.4183,11.000261,742,4018,4760
260,2011-09-17,3,0,9,0,6,0,2,20.158347,23.9256,18.9675,12.708225,1434,3077,4511
261,2011-09-18,3,0,9,0,0,0,1,20.8075,24.52685,17.8483,11.958361,1353,2921,4274
262,2011-09-19,3,0,9,0,1,1,2,22.515847,26.48375,15.1742,10.166714,691,3848,4539
263,2011-09-20,3,0,9,0,2,1,2,23.028347,26.61085,13.4954,9.041918,438,3203,3641
264,2011-09-21,3,0,9,0,3,1,2,24.395,27.52665,9.64042,6.4590814,539,3813,4352
265,2011-09-22,3,0,9,0,4,1,2,25.761653,27.74815,12.8125,8.584375,555,4240,4795
266,2011-09-23,4,0,9,0,5,1,2,24.975847,26.10625,7.83667,5.2505689,258,2137,2395
267,2011-09-24,4,0,9,0,6,0,2,24.873347,28.2206,7.83833,5.2516811,1776,3647,5423
268,2011-09-25,4,0,9,0,0,0,2,26.000847,28.63185,5.03792,3.3754064,1544,3466,5010
269,2011-09-26,4,0,9,0,1,1,2,26.615847,29.4521,11.07,7.4169,684,3946,4630
270,2011-09-27,4,0,9,0,2,1,2,26.103347,28.72625,11.8171,7.917457,477,3643,4120
271,2011-09-28,4,0,9,0,3,1,2,26.035,28.7579,14.8629,9.958143,480,3427,3907
272,2011-09-29,4,0,9,0,4,1,1,25.283347,28.7256,17.2883,11.583161,653,4186,4839
273,2011-09-30,4,0,9,0,5,1,1,23.130847,27.24145,20.6475,13.833825,830,4372,5202
